question,answer
How can I reset my password?,"Click 'Forgot Password' on the login page and follow the instructions."
Do you offer refunds?,"Yes, we offer a 40-day money-back guarantee on all plans. Contact billing@example.com for help."
How can I contact support?,"You can reach our support team at support@example.com or through the in-app chat widget."
Where can I view my invoices?,"You can find your invoices in the 'Billing' section of your account settings."
Do you have a mobile app?,"Yes! Our mobile app is available on both iOS and Android — search for 'Support Chat' in your app store."
Can I upgrade my plan later?,"Absolutely! You can upgrade anytime from your account dashboard under the 'Subscription' tab."
What browsers are supported?,"We support the latest versions of Chrome, Firefox, Safari, and Edge."
Is my data secure?,"Yes, all your data is encrypted in transit and at rest using industry-standard protocols."
Can I change my email address?,"Yes, you can update your email from your profile settings after verifying your current password."
How do I cancel my subscription?,"You can cancel from your billing settings page. Once cancelled, your account remains active until the end of your billing period."
